"Path","Name","Modified","Size","LineCount","Sha1","First5"
"D:\SMC_PROJECT\01_PINE\archive\core_detector_v1.pine","core_detector_v1.pine","2026-03-14 08:42:25","22896","629","146388F187215DF9BF72FEC28EF6D1F4A8AB1C3D","//@version=6 || indicator(""Core Detector v1 | Liquidity -> Sweep -> Displacement -> Main OB -> End Impulse | LAST ONLY"", overlay=true, max_boxes_count=500, max_labels_count=500, max_lines_count=500) ||  || //===================================== || // HELPERS"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_clean_from_zero__replaced_after_global_boundary_contract__2026-04-15__08-20-38.pine","smc_core_detector_L0_clean_from_zero__replaced_after_global_boundary_contract__2026-04-15__08-20-38.pine","2026-04-12 22:37:58","12808","317","14A19D6D905657BAD6371ABDBE48CC81BD4DB586","//@version=6 || indicator(""SMC Core Detector L0 Clean From Zero"", overlay=true, max_labels_count=50, max_lines_count=20) ||  || // 1. INPUTS || rangeLookback = input.int(20, ""Range Lookback"", minval=5)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completed_structural_impulse__replaced_after_restore_provisional_impulse_existence__2026-04-15__14-33-09.pine","smc_core_detector_L0_completed_structural_impulse__replaced_after_restore_provisional_impulse_existence__2026-04-15__14-33-09.pine","2026-04-15 14:10:14","7205","189","E7D629DF294F6F617083C142A3D962CCBDFE971E","//@version=6 || indicator(""SMC Core Detector L0 Completed Structural Impulse"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260426_1748_before_impulse_ownership_fix.pine","smc_core_detector_L0_completion_rule_reachable_20260426_1748_before_impulse_ownership_fix.pine","2026-04-26 17:25:26","60551","1129","D87A635091103EFC21B3F7982F1A0DFDB8A3A61B","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260426_1818_before_visual_rollback_fix.pine","smc_core_detector_L0_completion_rule_reachable_20260426_1818_before_visual_rollback_fix.pine","2026-04-26 17:55:26","64295","1147","BC4360AC072967EB9B19910430CC0616C95A7CC1","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260426_1921_before_owner_proof_fix.pine","smc_core_detector_L0_completion_rule_reachable_20260426_1921_before_owner_proof_fix.pine","2026-04-26 18:19:57","65730","1170","001D8174AD40C58A2920A7C768B5AA4FE34D9176","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260426_1934_before_file_state_ownership_fix.pine","smc_core_detector_L0_completion_rule_reachable_20260426_1934_before_file_state_ownership_fix.pine","2026-04-26 19:23:39","69838","1232","F092ABA8087082EB2C29C33024298DD1AC3B9CB1","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260426_1934_before_previous_anchor_validity_fix.pine","smc_core_detector_L0_completion_rule_reachable_20260426_1934_before_previous_anchor_validity_fix.pine","2026-04-26 19:35:23","70093","1233","7FCDD55666C611D52BF520986D74208499E843DA","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260426_1941_before_owner_label_semantics_fix.pine","smc_core_detector_L0_completion_rule_reachable_20260426_1941_before_owner_label_semantics_fix.pine","2026-04-26 19:35:23","70093","1233","7FCDD55666C611D52BF520986D74208499E843DA","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260427_1624_before_source_of_truth_audit.pine","smc_core_detector_L0_completion_rule_reachable_20260427_1624_before_source_of_truth_audit.pine","2026-04-26 19:56:32","71970","1244","23F9189E179EE999E96C11BC1BB3F4001839CF85","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260427_1636_before_final_mtf_handle_separation.pine","smc_core_detector_L0_completion_rule_reachable_20260427_1636_before_final_mtf_handle_separation.pine","2026-04-26 19:56:32","71970","1244","23F9189E179EE999E96C11BC1BB3F4001839CF85","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
